# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
c6i.24xlarge,96,192,x86_64,37.5 Gigabit,15,50
c6i.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c6i.32xlarge,128,256,x86_64,50 Gigabit,15,50
c6i.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c6i.8xlarge,32,64,x86_64,12.5 Gigabit,8,30
c6i.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
c6i.metal,128,256,x86_64,50 Gigabit,15,50
c6i.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c6id.12xlarge,48,96,x86_64,18.75 Gigabit,8,30
c6id.16xlarge,64,128,x86_64,25 Gigabit,15,50
c6id.24xlarge,96,192,x86_64,37.5 Gigabit,15,50
c6id.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c6id.32xlarge,128,256,x86_64,50 Gigabit,15,50
c6id.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c6id.8xlarge,32,64,x86_64,12.5 Gigabit,8,30
c6id.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
c6id.metal,128,256,x86_64,50 Gigabit,15,50
c6id.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c6in.12xlarge,48,96,x86_64,75 Gigabit,8,30
c6in.16xlarge,64,128,x86_64,100 Gigabit,15,50
c6in.24xlarge,96,192,x86_64,150 Gigabit,15,50
c6in.2xlarge,8,16,x86_64,Up to 40 Gigabit,4,15
c6in.32xlarge,128,256,x86_64,200 Gigabit,16,50
c6in.4xlarge,16,32,x86_64,Up to 50 Gigabit,8,30
c6in.8xlarge,32,64,x86_64,50 Gigabit,8,30
c6in.large,2,4,x86_64,Up to 25 Gigabit,3,10
c6in.metal,128,256,x86_64,200 Gigabit,16,50
c6in.xlarge,4,8,x86_64,Up to 30 Gigabit,4,15
c7a.12xlarge,48,96,x86_64,18.75 Gigabit,8,30
c7a.16xlarge,64,128,x86_64,25 Gigabit,15,50
c7a.24xlarge,96,192,x86_64,37.5 Gigabit,15,50
