# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
m5.24xlarge,96,384,x86_64,25 Gigabit,15,50
m5.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
m5.4xlarge,16,64,x86_64,Up to 10 Gigabit,8,30
m5.8xlarge,32,128,x86_64,10 Gigabit,8,30
m5.large,2,8,x86_64,Up to 10 Gigabit,3,10
m5.metal,96,384,x86_64,25 Gigabit,15,50
m5.xlarge,4,16,x86_64,Up to 10 Gigabit,4,15
m5a.12xlarge,48,192,x86_64,10 Gigabit,8,30
m5a.16xlarge,64,256,x86_64,12 Gigabit,15,50
m5a.24xlarge,96,384,x86_64,20 Gigabit,15,50
m5a.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
m5a.4xlarge,16,64,x86_64,Up to 10 Gigabit,8,30
m5a.8xlarge,32,128,x86_64,Up to 10 Gigabit,8,30
m5a.large,2,8,x86_64,Up to 10 Gigabit,3,10
m5a.xlarge,4,16,x86_64,Up to 10 Gigabit,4,15
m5ad.12xlarge,48,192,x86_64,10 Gigabit,8,30
m5ad.16xlarge,64,256,x86_64,12 Gigabit,15,50
m5ad.24xlarge,96,384,x86_64,20 Gigabit,15,50
m5ad.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
m5ad.4xlarge,16,64,x86_64,Up to 10 Gigabit,8,30
m5ad.8xlarge,32,128,x86_64,Up to 10 Gigabit,8,30
m5ad.large,2,8,x86_64,Up to 10 Gigabit,3,10
m5ad.xlarge,4,16,x86_64,Up to 10 Gigabit,4,15
m5d.12xlarge,48,192,x86_64,12 Gigabit,8,30
m5d.16xlarge,64,256,x86_64,20 Gigabit,15,50
m5d.24xlarge,96,384,x86_64,25 Gigabit,15,50
m5d.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
m5d.4xlarge,16,64,x86_64,Up to 10 Gigabit,8,30
m5d.8xlarge,32,128,x86_64,10 Gigabit,8,30
m5d.large,2,8,x86_64,Up to 10 Gigabit,3,10
m5d.metal,96,384,x86_64,25 Gigabit,15,50
m5d.xlarge,4,16,x86_64,Up to 10 Gigabit,4,15
m5dn.12xlarge,48,192,x86_64,50 Gigabit,8,30
m5dn.16xlarge,64,256,x86_64,75 Gigabit,15,50
m5dn.24xlarge,96,384,x86_64,100 Gigabit,15,50
m5dn.2xlarge,8,32,x86_64,Up to 25 Gigabit,4,15
m5dn.4xlarge,16,64,x86_64,Up to 25 Gigabit,8,30
m5dn.8xlarge,32,128,x86_64,25 Gigabit,8,30
m5dn.large,2,8,x86_64,Up to 25 Gigabit,3,10
m5dn.metal,96,384,x86_64,100 Gigabit,15,50
m5dn.xlarge,4,16,x86_64,Up to 25 Gigabit,4,15
m5n.12xlarge,48,192,x86_64,50 Gigabit,8,30
m5n.16xlarge,64,256,x86_64,75 Gigabit,15,50
m5n.24xlarge,96,384,x86_64,100 Gigabit,15,50
m5n.2xlarge,8,32,x86_64,Up to 25 Gigabit,4,15
m5n.4xlarge,16,64,x86_64,Up to 25 Gigabit,8,30
m5n.8xlarge,32,128,x86_64,25 Gigabit,8,30
m5n.large,2,8,x86_64,Up to 25 Gigabit,3,10
m5n.xlarge,4,16,x86_64,Up to 25 Gigabit,4,15
m5zn.12xlarge,48,192,x86_64,100 Gigabit,15,50
m5zn.2xlarge,8,32,x86_64,Up to 25 Gigabit,4,15
m5zn.3xlarge,12,48,x86_64,Up to 25 Gigabit,8,30
m5zn.6xlarge,24,96,x86_64,50 Gigabit,8,30
m5zn.large,2,8,x86_64,Up to 25 Gigabit,3,10
m5zn.metal,48,192,x86_64,100 Gigabit,15,50
m5zn.xlarge,4,16,x86_64,Up to 25 Gigabit,4,15
m6a.12xlarge,48,192,x86_64,18.75 Gigabit,8,30
m6a.16xlarge,64,256,x86_64,25 Gigabit,15,50
m6a.24xlarge,96,384,x86_64,37.5 Gigabit,15,50
m6a.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m6a.32xlarge,128,512,x86_64,50 Gigabit,15,50
m6a.48xlarge,192,768,x86_64,50 Gigabit,15,50
m6a.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m6a.8xlarge,32,128,x86_64,12.5 Gigabit,8,30
m6a.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m6a.metal,192,768,x86_64,50 Gigabit,15,50
m6a.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m6g.12xlarge,48,192,arm64,20 Gigabit,8,30
m6g.16xlarge,64,256,arm64,25 Gigabit,15,50
m6g.2xlarge,8,32,arm64,Up to 10 Gigabit,4,15
m6g.4xlarge,16,64,arm64,Up to 10 Gigabit,8,30
m6g.8xlarge,32,128,arm64,12 Gigabit,8,30
m6g.large,2,8,arm64,Up to 10 Gigabit,3,10
m6g.medium,1,4,arm64,Up to 10 Gigabit,2,4
m6g.metal,64,256,arm64,25 Gigabit,15,50
m6g.xlarge,4,16,arm64,Up to 10 Gigabit,4,15
m6gd.12xlarge,48,192,arm64,20 Gigabit,8,30
m6gd.16xlarge,64,256,arm64,25 Gigabit,15,50
m6gd.2xlarge,8,32,arm64,Up to 10 Gigabit,4,15
m6gd.4xlarge,16,64,arm64,Up to 10 Gigabit,8,30
m6gd.8xlarge,32,128,arm64,12 Gigabit,8,30
m6gd.large,2,8,arm64,Up to 10 Gigabit,3,10
m6gd.medium,1,4,arm64,Up to 10 Gigabit,2,4
m6gd.metal,64,256,arm64,25 Gigabit,15,50
m6gd.xlarge,4,16,arm64,Up to 10 Gigabit,4,15
m6i.12xlarge,48,192,x86_64,18.75 Gigabit,8,30
m6i.16xlarge,64,256,x86_64,25 Gigabit,15,50
m6i.24xlarge,96,384,x86_64,37.5 Gigabit,15,50
m6i.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m6i.32xlarge,128,512,x86_64,50 Gigabit,15,50
m6i.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m6i.8xlarge,32,128,x86_64,12.5 Gigabit,8,30
m6i.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m6i.metal,128,512,x86_64,50 Gigabit,15,50
m6i.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m6id.12xlarge,48,192,x86_64,18.75 Gigabit,8,30
m6id.16xlarge,64,256,x86_64,25 Gigabit,15,50
m6id.24xlarge,96,384,x86_64,37.5 Gigabit,15,50
m6id.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m6id.32xlarge,128,512,x86_64,50 Gigabit,15,50
m6id.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m6id.8xlarge,32,128,x86_64,12.5 Gigabit,8,30
m6id.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m6id.metal,128,512,x86_64,50 Gigabit,15,50
m6id.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m6idn.12xlarge,48,192,x86_64,75 Gigabit,8,30
m6idn.16xlarge,64,256,x86_64,100 Gigabit,15,50
m6idn.24xlarge,96,384,x86_64,150 Gigabit,15,50
m6idn.2xlarge,8,32,x86_64,Up to 40 Gigabit,4,15
m6idn.32xlarge,128,512,x86_64,200 Gigabit,16,50
m6idn.4xlarge,16,64,x86_64,Up to 50 Gigabit,8,30
m6idn.8xlarge,32,128,x86_64,50 Gigabit,8,30
m6idn.large,2,8,x86_64,Up to 25 Gigabit,3,10
m6idn.metal,128,512,x86_64,200 Gigabit,16,50
m6idn.xlarge,4,16,x86_64,Up to 30 Gigabit,4,15
m6in.12xlarge,48,192,x86_64,75 Gigabit,8,30
m6in.16xlarge,64,256,x86_64,100 Gigabit,15,50
m6in.24xlarge,96,384,x86_64,150 Gigabit,15,50
m6in.2xlarge,8,32,x86_64,Up to 40 Gigabit,4,15
m6in.32xlarge,128,512,x86_64,200 Gigabit,16,50
m6in.4xlarge,16,64,x86_64,Up to 50 Gigabit,8,30
m6in.8xlarge,32,128,x86_64,50 Gigabit,8,30
m6in.large,2,8,x86_64,Up to 25 Gigabit,3,10
m6in.metal,128,512,x86_64,200 Gigabit,16,50
m6in.xlarge,4,16,x86_64,Up to 30 Gigabit,4,15
m7a.12xlarge,48,192,x86_64,18.75 Gigabit,8,30
m7a.16xlarge,64,256,x86_64,25 Gigabit,15,50
m7a.24xlarge,96,384,x86_64,37.5 Gigabit,15,50
m7a.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m7a.32xlarge,128,512,x86_64,50 Gigabit,15,50
m7a.48xlarge,192,768,x86_64,50 Gigabit,15,50
m7a.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m7a.8xlarge,32,128,x86_64,12.5 Gigabit,8,30
m7a.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m7a.medium,1,4,x86_64,Up to 12.5 Gigabit,2,4
m7a.metal-48xl,192,768,x86_64,50 Gigabit,15,50
m7a.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m7g.12xlarge,48,192,arm64,22.5 Gigabit,8,30
m7g.16xlarge,64,256,arm64,30 Gigabit,15,50
m7g.2xlarge,8,32,arm64,Up to 15 Gigabit,4,15
m7g.4xlarge,16,64,arm64,Up to 15 Gigabit,8,30
m7g.8xlarge,32,128,arm64,15 Gigabit,8,30
m7g.large,2,8,arm64,Up to 12.5 Gigabit,3,10
m7g.medium,1,4,arm64,Up to 12.5 Gigabit,2,4
m7g.metal,64,256,arm64,30 Gigabit,15,50
m7g.xlarge,4,16,arm64,Up to 12.5 Gigabit,4,15
m7gd.12xlarge,48,192,arm64,22.5 Gigabit,8,30
m7gd.16xlarge,64,256,arm64,30 Gigabit,15,50
m7gd.2xlarge,8,32,arm64,Up to 15 Gigabit,4,15
m7gd.4xlarge,16,64,arm64,Up to 15 Gigabit,8,30
m7gd.8xlarge,32,128,arm64,15 Gigabit,8,30
m7gd.large,2,8,arm64,Up to 12.5 Gigabit,3,10
m7gd.medium,1,4,arm64,Up to 12.5 Gigabit,2,4
m7gd.metal,64,256,arm64,30 Gigabit,15,50
m7gd.xlarge,4,16,arm64,Up to 12.5 Gigabit,4,15
m7i-flex.12xlarge,48,192,x86_64,Up to 18.75 Gigabit,8,30
m7i-flex.16xlarge,64,256,x86_64,Up to 25 Gigabit,15,50
m7i-flex.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m7i-flex.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m7i-flex.8xlarge,32,128,x86_64,Up to 12.5 Gigabit,8,30
m7i-flex.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m7i-flex.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m7i.12xlarge,48,192,x86_64,18.75 Gigabit,8,30
m7i.16xlarge,64,256,x86_64,25 Gigabit,15,50
m7i.24xlarge,96,384,x86_64,37.5 Gigabit,15,50
m7i.2xlarge,8,32,x86_64,Up to 12.5 Gigabit,4,15
m7i.48xlarge,192,768,x86_64,50 Gigabit,15,50
m7i.4xlarge,16,64,x86_64,Up to 12.5 Gigabit,8,30
m7i.8xlarge,32,128,x86_64,12.5 Gigabit,8,30
m7i.large,2,8,x86_64,Up to 12.5 Gigabit,3,10
m7i.metal-24xl,96,384,x86_64,37.5 Gigabit,15,50
m7i.metal-48xl,192,768,x86_64,50 Gigabit,15,50
m7i.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,15
m8a.12xlarge,48,192,x86_64,22.5 Gigabit,12,64
m8a.16xlarge,64,256,x86_64,30 Gigabit,16,64
m8a.24xlarge,96,384,x86_64,40 Gigabit,16,64
m8a.2xlarge,8,32,x86_64,Up to 15 Gigabit,4,40
m8a.48xlarge,192,768,x86_64,75 Gigabit,24,64
m8a.4xlarge,16,64,x86_64,Up to 15 Gigabit,8,40
m8a.8xlarge,32,128,x86_64,15 Gigabit,10,40
m8a.large,2,8,x86_64,Up to 12.5 Gigabit,3,20
m8a.medium,1,4,x86_64,Up to 12.5 Gigabit,2,4
m8a.metal-24xl,96,384,x86_64,40 Gigabit,16,64
m8a.metal-48xl,192,768,x86_64,75 Gigabit,24,64
m8a.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,20
m8azn.12xlarge,48,192,x86_64,100 Gigabit,16,64
m8azn.24xlarge,96,384,x86_64,200 Gigabit,16,64
m8azn.3xlarge,12,48,x86_64,Up to 50 Gigabit,8,40
m8azn.6xlarge,24,96,x86_64,50 Gigabit,8,40
m8azn.large,2,8,x86_64,Up to 30 Gigabit,4,20
m8azn.medium,1,4,x86_64,Up to 25 Gigabit,3,4
m8azn.metal-12xl,48,192,x86_64,100 Gigabit,16,64
m8azn.metal-24xl,96,384,x86_64,200 Gigabit,16,64
m8azn.xlarge,4,16,x86_64,Up to 40 Gigabit,4,20
m8g.12xlarge,48,192,arm64,22.5 Gigabit,8,30
m8g.16xlarge,64,256,arm64,30 Gigabit,15,50
m8g.24xlarge,96,384,arm64,40 Gigabit,15,50
m8g.2xlarge,8,32,arm64,Up to 15 Gigabit,4,15
m8g.48xlarge,192,768,arm64,50 Gigabit,15,50
m8g.4xlarge,16,64,arm64,Up to 15 Gigabit,8,30
m8g.8xlarge,32,128,arm64,15 Gigabit,8,30
m8g.large,2,8,arm64,Up to 12.5 Gigabit,3,10
m8g.medium,1,4,arm64,Up to 12.5 Gigabit,2,4
m8g.metal-24xl,96,384,arm64,40 Gigabit,15,50
m8g.metal-48xl,192,768,arm64,50 Gigabit,15,50
m8g.xlarge,4,16,arm64,Up to 12.5 Gigabit,4,15
m8gb.12xlarge,48,192,arm64,100 Gigabit,12,30
m8gb.16xlarge,64,256,arm64,133.33 Gigabit,16,50
m8gb.24xlarge,96,384,arm64,200 Gigabit,24,50
m8gb.2xlarge,8,32,arm64,Up to 33.33 Gigabit,4,15
m8gb.48xlarge,192,768,arm64,400 Gigabit,24,50
m8gb.4xlarge,16,64,arm64,33.33 Gigabit,8,30
m8gb.8xlarge,32,128,arm64,66.66 Gigabit,10,30
m8gb.large,2,8,arm64,Up to 20 Gigabit,3,10
m8gb.medium,1,4,arm64,Up to 16.66 Gigabit,2,4
m8gb.xlarge,4,16,arm64,Up to 26.66 Gigabit,4,15
m8gd.12xlarge,48,192,arm64,22.5 Gigabit,8,30
m8gd.16xlarge,64,256,arm64,30 Gigabit,15,50
m8gd.24xlarge,96,384,arm64,40 Gigabit,15,50
m8gd.2xlarge,8,32,arm64,Up to 15 Gigabit,4,15
m8gd.48xlarge,192,768,arm64,50 Gigabit,15,50
m8gd.4xlarge,16,64,arm64,Up to 15 Gigabit,8,30
m8gd.8xlarge,32,128,arm64,15 Gigabit,8,30
m8gd.large,2,8,arm64,Up to 12.5 Gigabit,3,10
m8gd.medium,1,4,arm64,Up to 12.5 Gigabit,2,4
m8gd.metal-24xl,96,384,arm64,40 Gigabit,15,50
m8gd.metal-48xl,192,768,arm64,50 Gigabit,15,50
m8gd.xlarge,4,16,arm64,Up to 12.5 Gigabit,4,15
m8gn.12xlarge,48,192,arm64,150 Gigabit,12,30
m8gn.16xlarge,64,256,arm64,200 Gigabit,16,50
m8gn.24xlarge,96,384,arm64,300 Gigabit,24,50
m8gn.2xlarge,8,32,arm64,Up to 50 Gigabit,4,15
m8gn.48xlarge,192,768,arm64,600 Gigabit,24,50
m8gn.4xlarge,16,64,arm64,50 Gigabit,8,30
m8gn.8xlarge,32,128,arm64,100 Gigabit,10,30
m8gn.large,2,8,arm64,Up to 30 Gigabit,3,10
m8gn.medium,1,4,arm64,Up to 25 Gigabit,2,4
m8gn.xlarge,4,16,arm64,Up to 40 Gigabit,4,15
m8i-flex.12xlarge,48,192,x86_64,Up to 22.5 Gigabit,12,50
m8i-flex.16xlarge,64,256,x86_64,Up to 30 Gigabit,16,64
m8i-flex.2xlarge,8,32,x86_64,Up to 15 Gigabit,4,30
m8i-flex.4xlarge,16,64,x86_64,Up to 15 Gigabit,8,50
m8i-flex.8xlarge,32,128,x86_64,Up to 15 Gigabit,10,50
m8i-flex.large,2,8,x86_64,Up to 12.5 Gigabit,3,20
m8i-flex.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,30
m8i.12xlarge,48,192,x86_64,22.5 Gigabit,12,50
m8i.16xlarge,64,256,x86_64,30 Gigabit,16,64
m8i.24xlarge,96,384,x86_64,40 Gigabit,16,64
m8i.2xlarge,8,32,x86_64,Up to 15 Gigabit,4,30
m8i.32xlarge,128,512,x86_64,50 Gigabit,24,64
m8i.48xlarge,192,768,x86_64,75 Gigabit,24,64
m8i.4xlarge,16,64,x86_64,Up to 15 Gigabit,8,50
m8i.8xlarge,32,128,x86_64,15 Gigabit,10,50
m8i.96xlarge,384,"1,536",x86_64,100 Gigabit,24,64
m8i.large,2,8,x86_64,Up to 12.5 Gigabit,3,20
m8i.metal-48xl,192,768,x86_64,75 Gigabit,24,64
m8i.metal-96xl,384,"1,536",x86_64,100 Gigabit,24,64
m8i.xlarge,4,16,x86_64,Up to 12.5 Gigabit,4,30
mac-m4.metal,10,24,arm64_mac,10 Gigabit,8,30
mac1.metal,12,32,x86_64_mac,25 Gigabit,8,30
mac2.metal,8,16,arm64_mac,10 Gigabit,8,30
p3dn.24xlarge,96,768,x86_64,100 Gigabit,15,50
p4d.24xlarge,96,"1,152",x86_64,4x 100 Gigabit,60,50
r3.2xlarge,8,61,x86_64,High,4,15
r3.4xlarge,16,122,x86_64,High,8,30
r3.8xlarge,32,244,x86_64,10 Gigabit,8,30
r3.large,2,15,x86_64,Moderate,3,10
r3.xlarge,4,30.5,x86_64,Moderate,4,15
r4.16xlarge,64,488,x86_64,25 Gigabit,15,50
r4.2xlarge,8,61,x86_64,Up to 10 Gigabit,4,15
r4.4xlarge,16,122,x86_64,Up to 10 Gigabit,8,30
r4.8xlarge,32,244,x86_64,10 Gigabit,8,30
r4.large,2,15.25,x86_64,Up to 10 Gigabit,3,10
r4.xlarge,4,30.5,x86_64,Up to 10 Gigabit,4,15
r5.12xlarge,48,384,x86_64,12 Gigabit,8,30
r5.16xlarge,64,512,x86_64,20 Gigabit,15,50
r5.24xlarge,96,768,x86_64,25 Gigabit,15,50
r5.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
r5.4xlarge,16,128,x86_64,Up to 10 Gigabit,8,30
r5.8xlarge,32,256,x86_64,10 Gigabit,8,30
r5.large,2,16,x86_64,Up to 10 Gigabit,3,10
r5.metal,96,768,x86_64,25 Gigabit,15,50
r5.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
r5a.12xlarge,48,384,x86_64,10 Gigabit,8,30
r5a.16xlarge,64,512,x86_64,12 Gigabit,15,50
r5a.24xlarge,96,768,x86_64,20 Gigabit,15,50
r5a.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
r5a.4xlarge,16,128,x86_64,Up to 10 Gigabit,8,30
r5a.8xlarge,32,256,x86_64,Up to 10 Gigabit,8,30
r5a.large,2,16,x86_64,Up to 10 Gigabit,3,10
r5a.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
r5ad.12xlarge,48,384,x86_64,10 Gigabit,8,30
r5ad.16xlarge,64,512,x86_64,12 Gigabit,15,50
r5ad.24xlarge,96,768,x86_64,20 Gigabit,15,50
r5ad.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
r5ad.4xlarge,16,128,x86_64,Up to 10 Gigabit,8,30
r5ad.8xlarge,32,256,x86_64,Up to 10 Gigabit,8,30
r5ad.large,2,16,x86_64,Up to 10 Gigabit,3,10
r5ad.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
r5b.12xlarge,48,384,x86_64,12 Gigabit,8,30
r5b.16xlarge,64,512,x86_64,20 Gigabit,15,50
r5b.24xlarge,96,768,x86_64,25 Gigabit,15,50
r5b.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
r5b.4xlarge,16,128,x86_64,Up to 10 Gigabit,8,30
r5b.8xlarge,32,256,x86_64,10 Gigabit,8,30
r5b.large,2,16,x86_64,Up to 10 Gigabit,3,10
r5b.metal,96,768,x86_64,25 Gigabit,15,50
r5b.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
r5d.12xlarge,48,384,x86_64,12 Gigabit,8,30
r5d.16xlarge,64,512,x86_64,20 Gigabit,15,50
r5d.24xlarge,96,768,x86_64,25 Gigabit,15,50
r5d.2xlarge,8,64,x86_64,Up to 10 Gigabit,4,15
r5d.4xlarge,16,128,x86_64,Up to 10 Gigabit,8,30
r5d.8xlarge,32,256,x86_64,10 Gigabit,8,30
r5d.large,2,16,x86_64,Up to 10 Gigabit,3,10
r5d.metal,96,768,x86_64,25 Gigabit,15,50
r5d.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
r5dn.12xlarge,48,384,x86_64,50 Gigabit,8,30
r5dn.16xlarge,64,512,x86_64,75 Gigabit,15,50
r5dn.24xlarge,96,768,x86_64,100 Gigabit,15,50
r5dn.2xlarge,8,64,x86_64,Up to 25 Gigabit,4,15
r5dn.4xlarge,16,128,x86_64,Up to 25 Gigabit,8,30
r5dn.8xlarge,32,256,x86_64,25 Gigabit,8,30
r5dn.large,2,16,x86_64,Up to 25 Gigabit,3,10
r5dn.metal,96,768,x86_64,100 Gigabit,15,50
r5dn.xlarge,4,32,x86_64,Up to 25 Gigabit,4,15
r5n.12xlarge,48,384,x86_64,50 Gigabit,8,30
r5n.16xlarge,64,512,x86_64,75 Gigabit,15,50
r5n.24xlarge,96,768,x86_64,100 Gigabit,15,50
r5n.2xlarge,8,64,x86_64,Up to 25 Gigabit,4,15
r5n.4xlarge,16,128,x86_64,Up to 25 Gigabit,8,30
r5n.8xlarge,32,256,x86_64,25 Gigabit,8,30
r5n.large,2,16,x86_64,Up to 25 Gigabit,3,10
r5n.metal,96,768,x86_64,100 Gigabit,15,50
r5n.xlarge,4,32,x86_64,Up to 25 Gigabit,4,15
r6a.12xlarge,48,384,x86_64,18.75 Gigabit,8,30
r6a.16xlarge,64,512,x86_64,25 Gigabit,15,50
r6a.24xlarge,96,768,x86_64,37.5 Gigabit,15,50
r6a.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r6a.32xlarge,128,"1,024",x86_64,50 Gigabit,15,50
r6a.48xlarge,192,"1,536",x86_64,50 Gigabit,15,50
r6a.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r6a.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r6a.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r6a.metal,192,"1,536",x86_64,50 Gigabit,15,50
r6a.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r6g.12xlarge,48,384,arm64,20 Gigabit,8,30
r6g.16xlarge,64,512,arm64,25 Gigabit,15,50
r6g.2xlarge,8,64,arm64,Up to 10 Gigabit,4,15
r6g.4xlarge,16,128,arm64,Up to 10 Gigabit,8,30
r6g.8xlarge,32,256,arm64,12 Gigabit,8,30
r6g.large,2,16,arm64,Up to 10 Gigabit,3,10
r6g.medium,1,8,arm64,Up to 10 Gigabit,2,4
r6g.metal,64,512,arm64,25 Gigabit,15,50
r6g.xlarge,4,32,arm64,Up to 10 Gigabit,4,15
r6gd.12xlarge,48,384,arm64,20 Gigabit,8,30
r6gd.16xlarge,64,512,arm64,25 Gigabit,15,50
r6gd.2xlarge,8,64,arm64,Up to 10 Gigabit,4,15
r6gd.4xlarge,16,128,arm64,Up to 10 Gigabit,8,30
r6gd.8xlarge,32,256,arm64,12 Gigabit,8,30
r6gd.large,2,16,arm64,Up to 10 Gigabit,3,10
r6gd.medium,1,8,arm64,Up to 10 Gigabit,2,4
r6gd.metal,64,512,arm64,25 Gigabit,15,50
r6gd.xlarge,4,32,arm64,Up to 10 Gigabit,4,15
r6i.12xlarge,48,384,x86_64,18.75 Gigabit,8,30
r6i.16xlarge,64,512,x86_64,25 Gigabit,15,50
r6i.24xlarge,96,768,x86_64,37.5 Gigabit,15,50
r6i.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r6i.32xlarge,128,"1,024",x86_64,50 Gigabit,15,50
r6i.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r6i.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r6i.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r6i.metal,128,"1,024",x86_64,50 Gigabit,15,50
r6i.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r6id.12xlarge,48,384,x86_64,18.75 Gigabit,8,30
r6id.16xlarge,64,512,x86_64,25 Gigabit,15,50
r6id.24xlarge,96,768,x86_64,37.5 Gigabit,15,50
r6id.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r6id.32xlarge,128,"1,024",x86_64,50 Gigabit,15,50
r6id.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r6id.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r6id.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r6id.metal,128,"1,024",x86_64,50 Gigabit,15,50
r6id.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r6idn.12xlarge,48,384,x86_64,75 Gigabit,8,30
r6idn.16xlarge,64,512,x86_64,100 Gigabit,15,50
r6idn.24xlarge,96,768,x86_64,150 Gigabit,15,50
r6idn.2xlarge,8,64,x86_64,Up to 40 Gigabit,4,15
r6idn.32xlarge,128,"1,024",x86_64,200 Gigabit,16,50
r6idn.4xlarge,16,128,x86_64,Up to 50 Gigabit,8,30
r6idn.8xlarge,32,256,x86_64,50 Gigabit,8,30
r6idn.large,2,16,x86_64,Up to 25 Gigabit,3,10
r6idn.metal,128,"1,024",x86_64,200 Gigabit,16,50
r6idn.xlarge,4,32,x86_64,Up to 30 Gigabit,4,15
r6in.12xlarge,48,384,x86_64,75 Gigabit,8,30
r6in.16xlarge,64,512,x86_64,100 Gigabit,15,50
r6in.24xlarge,96,768,x86_64,150 Gigabit,15,50
r6in.2xlarge,8,64,x86_64,Up to 40 Gigabit,4,15
r6in.32xlarge,128,"1,024",x86_64,200 Gigabit,16,50
r6in.4xlarge,16,128,x86_64,Up to 50 Gigabit,8,30
r6in.8xlarge,32,256,x86_64,50 Gigabit,8,30
r6in.large,2,16,x86_64,Up to 25 Gigabit,3,10
r6in.metal,128,"1,024",x86_64,200 Gigabit,16,50
r6in.xlarge,4,32,x86_64,Up to 30 Gigabit,4,15
r7a.12xlarge,48,384,x86_64,18.75 Gigabit,8,30
r7a.16xlarge,64,512,x86_64,25 Gigabit,15,50
r7a.24xlarge,96,768,x86_64,37.5 Gigabit,15,50
r7a.2xlarge,8,64,x86_64,Up to 12.5 Gigabit,4,15
r7a.32xlarge,128,"1,024",x86_64,50 Gigabit,15,50
r7a.48xlarge,192,"1,536",x86_64,50 Gigabit,15,50
r7a.4xlarge,16,128,x86_64,Up to 12.5 Gigabit,8,30
r7a.8xlarge,32,256,x86_64,12.5 Gigabit,8,30
r7a.large,2,16,x86_64,Up to 12.5 Gigabit,3,10
r7a.medium,1,8,x86_64,Up to 12.5 Gigabit,2,4
r7a.metal-48xl,192,"1,536",x86_64,50 Gigabit,15,50
r7a.xlarge,4,32,x86_64,Up to 12.5 Gigabit,4,15
r7g.12xlarge,48,384,arm64,22.5 Gigabit,8,30
r7g.16xlarge,64,512,arm64,30 Gigabit,15,50
r7g.2xlarge,8,64,arm64,Up to 15 Gigabit,4,15
r7g.4xlarge,16,128,arm64,Up to 15 Gigabit,8,30
r7g.8xlarge,32,256,arm64,15 Gigabit,8,30
r7g.large,2,16,arm64,Up to 12.5 Gigabit,3,10
r7g.medium,1,8,arm64,Up to 12.5 Gigabit,2,4
